Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,family_size,cabin_multiple,name_title,norm_fare,is_alone,title_grouped,age_missing,age_group,fare_per_person,fare_group,cabin_known,cabin_deck,ticket_prefix,ticket_has_letters,sex_pclass,age_class
1,3,male,,0,0,S,1,0,Mr,4.05171190165724,1,Mr,1,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,85.5
0,2,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_2,57.0
0,1,male,,0,0,S,1,1,Mr,5.406181146423973,1,Mr,1,adult,5.406181146423973,very_high,1,C,PC,1,male_1,28.5
1,3,female,18.0,0,1,S,2,0,Mrs,2.336986519711378,0,Mrs,0,teen,1.168493259855689,medium,0,Unknown,NONE,0,female_3,54.0
1,2,female,31.0,1,1,S,3,0,Mrs,3.305053521109253,0,Mrs,0,adult,1.1016845070364176,high,0,Unknown,C.A.,1,female_2,62.0
0,3,male,21.0,0,0,S,1,0,Mr,2.2442459824059346,1,Mr,0,adult,2.2442459824059346,medium,0,Unknown,NONE,0,male_3,63.0
1,3,male,26.0,0,0,S,1,0,Mr,4.05171190165724,1,Mr,0,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,78.0
0,1,male,,0,0,C,1,0,Mr,5.4316456135398825,1,Mr,1,adult,5.4316456135398825,very_high,0,Unknown,PC,1,male_1,28.5
1,3,male,,0,0,Q,1,0,Mr,2.169053700369523,1,Mr,1,adult,2.169053700369523,low,0,Unknown,NONE,0,male_3,85.5
0,3,female,31.0,1,0,S,2,0,Mrs,2.9444389791664403,0,Mrs,0,adult,1.4722194895832201,high,0,Unknown,NONE,0,female_3,93.0
1,1,male,56.0,0,0,C,1,1,Col,3.597312260588446,1,Rare,0,middle_age,3.597312260588446,very_high,1,A,NONE,0,male_1,56.0
0,3,female,21.0,1,0,S,2,0,Miss,2.3818582738885534,0,Miss,0,adult,1.1909291369442767,medium,0,Unknown,NONE,0,female_3,63.0
0,3,male,,8,2,S,11,0,Mr,4.256321678298823,0,Mr,1,adult,0.3869383343908021,very_high,0,Unknown,CA.,1,male_3,85.5
0,1,male,56.0,0,0,S,1,0,Mr,3.3160025355989236,1,Mr,0,middle_age,3.3160025355989236,high,0,Unknown,NONE,0,male_1,56.0
0,3,male,21.0,0,0,S,1,0,Mr,2.174751721484161,1,Mr,0,adult,2.174751721484161,low,0,Unknown,A/4.,1,male_3,63.0
1,1,female,33.0,1,0,Q,2,1,Miss,4.51085950651685,0,Miss,0,adult,2.255429753258425,very_high,1,C,NONE,0,female_1,33.0
0,3,male,21.0,0,0,Q,1,0,Mr,2.167143305297764,1,Mr,0,adult,2.167143305297764,low,0,Unknown,A/5.,1,male_3,63.0
0,3,male,,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,1,adult,2.1102132003465894,low,0,Unknown,NONE,0,male_3,85.5
0,3,male,43.0,0,0,S,1,0,Mr,2.0082140323914683,1,Mr,0,middle_age,2.0082140323914683,low,0,Unknown,C,1,male_3,129.0
0,3,female,,3,1,S,5,0,Miss,3.275887339030031,0,Miss,1,adult,0.6551774678060063,high,0,Unknown,NONE,0,female_3,85.5
0,3,male,30.0,1,0,S,2,0,Mr,2.8390784635086144,0,Mr,0,adult,1.4195392317543072,high,0,Unknown,A/5.,1,male_3,90.0
1,1,female,32.0,0,0,C,1,1,Miss,4.347586575960343,1,Miss,0,adult,4.347586575960343,very_high,1,D,NONE,0,female_1,32.0
1,1,female,,0,0,C,1,0,Mrs,4.384523514872469,1,Mrs,1,adult,4.384523514872469,very_high,0,Unknown,PC,1,female_1,28.5
1,2,male,19.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,SW/PP,1,male_2,38.0
0,3,male,24.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,72.0
1,2,female,45.0,0,0,S,1,0,Mrs,2.6741486494265287,1,Mrs,0,middle_age,2.6741486494265287,medium,0,Unknown,NONE,0,female_2,90.0
0,3,male,23.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,69.0
0,3,male,42.0,0,1,S,2,0,Mr,2.2411563979973974,0,Mr,0,middle_age,1.1205781989986987,medium,0,Unknown,NONE,0,male_3,126.0
1,1,female,39.0,1,1,C,3,1,Miss,4.432699549165613,0,Miss,0,middle_age,1.4775665163885376,very_high,1,E,PC,1,female_1,39.0
1,3,male,16.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,teen,2.2027647577118348,medium,0,Unknown,SOTON/OQ,1,male_3,48.0
0,3,male,,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,1,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,85.5
0,2,male,66.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,senior,2.4423470353692043,medium,0,Unknown,C.A.,1,male_2,132.0
1,1,male,28.0,0,0,S,1,1,Mr,3.3160025355989236,1,Mr,0,adult,3.3160025355989236,high,1,C,NONE,0,male_1,28.0
0,2,male,51.0,0,0,S,1,0,Rev,2.6045398247325453,1,Rare,0,middle_age,2.6045398247325453,medium,0,Unknown,S.O.P.,1,male_2,102.0
0,2,male,47.0,0,0,S,1,0,Mr,2.772588722239781,1,Mr,0,middle_age,2.772588722239781,high,0,Unknown,NONE,0,male_2,94.0
1,3,male,18.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,teen,2.2027647577118348,medium,0,Unknown,A/5,1,male_3,54.0
0,2,male,36.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,middle_age,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,72.0
1,2,female,30.0,0,0,S,1,0,Miss,2.6390573296152584,1,Miss,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,female_2,60.0
1,2,female,22.0,1,1,S,3,0,Mrs,3.4011973816621555,0,Mrs,0,adult,1.1337324605540517,high,0,Unknown,NONE,0,female_2,44.0
0,3,female,,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,1,adult,2.169053700369523,low,0,Unknown,NONE,0,female_3,85.5
0,2,male,25.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,C.A.,1,male_2,50.0
0,3,male,,0,0,C,1,0,Mr,2.1076888046179385,1,Mr,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,male_3,85.5
